Country ;Announced Prefix;Description ;Valid ROA ;Parent Prefix ;RIR
United States (US) Flag ;2001:550::/32 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:101::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:103::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:104::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:106::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:107::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:109::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:10b::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:202::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:203::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:204::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:205::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:206::/47 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:208::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:209::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:20a::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:303::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:304::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:307::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:308::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:309::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:30a::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:30b::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:30c::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:30d::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:407::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
United States (US) Flag ;2001:550:408::/48 ;Cogent Communications ;;2001:550::/32 ;ARIN
