Country ;Announced Prefix;Description ;Valid ROA ;Parent Prefix ;RIR
European Union (EU) Flag ;2.22.36.0/22 ;Akamai Technologies ;;2.16.0.0/13 ;RIPE
European Union (EU) Flag ;2.22.40.0/22 ;Akamai Technologies ;;2.16.0.0/13 ;RIPE
European Union (EU) Flag ;2.22.238.0/23 ;Akamai Technologies ;;2.16.0.0/13 ;RIPE
European Union (EU) Flag ;2.23.128.0/20 ;Akamai Technologies ;;2.16.0.0/13 ;RIPE
European Union (EU) Flag ;2.255.248.0/21 ;TeliaCompany AB ;;2.248.0.0/13 ;RIPE
Singapore (SG) Flag ;5.8.26.0/23 ;G-Core Labs Customer assignment ;;5.8.24.0/22 ;RIPE
Luxembourg (LU) Flag ;5.8.40.0/24 ;G-Core Labs S.A. ;;5.8.40.0/22 ;RIPE
United States (US) Flag ;5.8.41.0/24 ;G-Core Labs Customer assignment ;;5.8.40.0/22 ;RIPE
Luxembourg (LU) Flag ;5.8.68.0/24 ;G-Core Labs S.A. ;;5.8.68.0/22 ;RIPE
United States (US) Flag ;5.8.93.0/24 ;G-Core Labs S.A. ;;5.8.92.0/22 ;RIPE
Russian Federation (RU) Flag ;5.62.18.0/24 ;PRCDN Consumer Pool ;;5.62.0.0/18 ;RIPE
United Kingdom (GB) Flag ;5.101.216.0/24 ;G-Core Labs Customer assignment ;;5.101.216.0/21 ;RIPE
Germany (DE) Flag ;5.154.160.0/21 ;Amisol GmbH ;;5.154.160.0/21 ;RIPE
United States (US) Flag ;5.188.0.0/24 ;G-Core Labs Customer assignment ;;5.188.0.0/21 ;RIPE
Turkey (TR) Flag ;5.188.5.0/24 ;G-Core Labs Customer assignment ;;5.188.0.0/21 ;RIPE
Ukraine (UA) Flag ;5.188.6.0/24 ;G-Core Labs Customer assignment ;;5.188.0.0/21 ;RIPE
Hong Kong (HK) Flag ;5.188.33.0/24 ;G-Core Labs Customer assignment ;;5.188.32.0/21 ;RIPE
Singapore (SG) Flag ;5.188.34.0/24 ;G-Core Labs Customer assignment ;;5.188.32.0/21 ;RIPE
France (FR) Flag ;5.188.70.0/24 ;G-Core Labs Customer assignment ;;5.188.70.0/23 ;RIPE
France (FR) Flag ;5.188.93.0/24 ;G-Core Labs S.A. ;;5.188.92.0/22 ;RIPE
Poland (PL) Flag ;5.188.108.0/24 ;G-Core Labs Customer assignment ;;5.188.108.0/22 ;RIPE
Poland (PL) Flag ;5.188.109.0/24 ;G-Core Labs Customer assignment ;;5.188.108.0/22 ;RIPE
Luxembourg (LU) Flag ;5.188.134.0/24 ;G-Core Labs S.A. ;;5.188.132.0/22 ;RIPE
Russian Federation (RU) Flag ;5.188.171.0/24 ;G-Core Labs Customer assignment ;;5.188.168.0/22 ;RIPE
Russian Federation (RU) Flag ;5.188.212.0/24 ;G-Core Labs Customer assignment ;;5.188.212.0/22 ;RIPE
United Kingdom (GB) Flag ;5.188.213.0/24 ;G-Core Labs Customer assignment ;;5.188.212.0/22 ;RIPE
United States (US) Flag ;5.188.214.0/24 ;G-Core Labs Customer assignment ;;5.188.212.0/22 ;RIPE
Russian Federation (RU) Flag ;5.188.224.0/24 ;G-Core Labs Customer assignment ;;5.188.224.0/21 ;RIPE
United States (US) Flag ;5.188.230.0/24 ;G-Core Labs S.A. ;;5.188.224.0/21 ;RIPE
Hong Kong (HK) Flag ;5.189.200.0/24 ;G-Core Labs Customer assignment ;;5.189.200.0/21 ;RIPE
Netherlands (NL) Flag ;5.189.204.0/24 ;G-Core Labs Customer assignment ;;5.189.200.0/21 ;RIPE
United States (US) Flag ;5.189.206.0/24 ;G-Core Labs S.A. ;;5.189.200.0/21 ;RIPE
United States (US) Flag ;5.189.220.0/24 ;G-Core Labs S.A. ;;5.189.220.0/22 ;RIPE
Poland (PL) Flag ;5.189.221.0/24 ;G-Core Labs Customer assignment ;;5.189.220.0/22 ;RIPE
United States (US) Flag ;5.189.223.0/24 ;G-Core Labs S.A. ;;5.189.220.0/22 ;RIPE
Netherlands (NL) Flag ;23.40.124.0/22 ;Akamai International, BV ;;23.32.0.0/11 ;ARIN
United States (US) Flag ;23.52.144.0/20 ;Akamai Technologies, Inc. ;;23.32.0.0/11 ;ARIN
Netherlands (NL) Flag ;23.53.48.0/20 ;Akamai International, BV ;;23.32.0.0/11 ;ARIN
Austria (AT) Flag ;37.252.225.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
France (FR) Flag ;37.252.226.0/24 ;powered by ANX ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.229.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.230.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.231.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.246.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.247.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.249.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.254.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
Austria (AT) Flag ;37.252.255.0/24 ;ANEXIA Internetdienstleistungs GmbH ;;37.252.224.0/19 ;RIPE
United States (US) Flag ;43.228.184.0/22 ;Sand Dune Mail Ltd ;;43.228.184.0/22 ;APNIC
Sweden (SE) Flag ;45.15.18.0/24 ;Netbouncer AB ;;45.15.16.0/22 ;RIPE
United States (US) Flag ;45.55.0.0/19 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.32.0/19 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.64.0/19 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.96.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.100.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.104.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.108.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.112.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.116.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.120.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.124.0/22 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.128.0/18 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
United States (US) Flag ;45.55.192.0/18 ;DigitalOcean, LLC ;;45.55.0.0/16 ;ARIN
